duration,amplitude,abs_amplitude,direction,volatility,price_range,curvature,volume_change,avg_volume,volume_volatility,stroke_id,stroke_length,symbol
86400.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,0,2,MSFT
172800.0,-0.7979961449498825,0.7979961449498825,down,0.43174110102261554,1.0,1.2020038550501175,0.949312417729735,0.35022919409008835,0.45992309712872165,1,3,MSFT
259200.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,2,2,MSFT
86400.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,3,2,MSFT
518400.0,1.0,1.0,up,0.38427334987880285,1.0,0.2556528548591053,0.29663353012675814,0.5126779822885917,0.3521447810692106,4,5,MSFT
172800.0,-0.8449394072545462,0.8449394072545462,down,0.4394398441139754,1.0,1.1550605927454538,-0.340718301542885,0.44690610051429497,0.41509588168501854,5,3,MSFT
172800.0,0.8343900514558051,0.8343900514558051,up,0.4376240666022268,1.0,1.1656099485441949,1.0,0.3614958285025802,0.4528062253448378,6,3,MSFT
432000.0,-0.8942549293216753,0.8942549293216753,down,0.4011829187652265,1.0,0.45287460430944243,-1.0,0.33180129120399376,0.39152832672022225,7,4,MSFT
604800.0,0.7539443349502319,0.7539443349502319,up,0.3479875033322568,1.0,0.2097796801756149,1.0,0.4452956132445285,0.3223086567167473,8,6,MSFT
86400.0,-1.0,1.0,down,0.5,1.0,0.0,-1.0,0.5,0.5,9,2,MSFT
432000.0,0.6422429583118285,0.6422429583118285,up,0.40218348800190873,1.0,0.9906492741242918,-0.9755366581037588,0.5122316709481205,0.4763225609515118,10,4,MSFT
518400.0,-0.7149027465102569,0.7149027465102569,down,0.4065217282817073,1.0,0.6441103269332842,-0.030732377627571875,0.3328232934709946,0.3689910107142185,11,5,MSFT
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,12,2,MSFT
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,13,2,MSFT
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,14,2,MSFT
604800.0,1.0,1.0,up,0.37104513238396936,1.0,0.23603074186509354,-0.2628372944578478,0.4142041533345881,0.373610153803334,15,6,MSFT
432000.0,1.0,1.0,up,0.38665516108018083,1.0,0.1743373909641188,1.0,0.347413112659116,0.3915521179284673,16,4,MSFT
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,17,2,MSFT
86400.0,-1.0,1.0,down,0.5,1.0,0.0,1.0,0.5,0.5,18,2,MSFT
518400.0,-1.0,1.0,down,0.32227173886724014,1.0,0.2430121990973869,-0.8970514941887123,0.3647624648631407,0.3932426976215071,19,5,MSFT
172800.0,-1.0,1.0,down,0.4651532507899181,1.0,0.9458413402720944,0.22716900187120626,0.40905633395706875,0.4280282320750853,20,3,MSFT
345600.0,1.0,1.0,up,0.428198523078469,1.0,0.548061632481676,-0.7436803546142954,0.5812267848714318,0.42410169514842355,21,3,MSFT
864000.0,-0.9369549110827998,0.9369549110827998,down,0.35545866128790354,1.0,0.20894023348533258,0.8664043801428473,0.4993758591146672,0.3128268041127945,22,9,MSFT
259200.0,1.0,1.0,up,0.5,1.0,0.0,-1.0,0.5,0.5,23,2,MSFT
